"","code_A","label_A","code_B","label_B","code_C","label_C"
"14","F15","Broad recruitment","F05","Orientation","F01","Institutional support"
"21","F24","Top-down management","F15","Broad recruitment","F04","Tailored spaces"
"5","F06","Training","F21","Trust and dependability","F05","Orientation"
"8","F09","Delegate research tasks","F23","Prototype or demo","F06","Training"
"12","F13","Ownership","F06","Training","F07","Continuous involvement"
"6",NA,NA,"F07","Continuous involvement","F22","Prior relationship"
