"","code_A","label_A","code_B","label_B","code_C","label_C"
"1",NA,NA,"C16","Failure to acknowledge","C17","Mistrust"
"2",NA,NA,"C10","Lack of diverse perspectives","C13","Turnover"
"3",NA,NA,"C17","Mistrust",NA,NA
"4",NA,NA,"C12","Difficulties in finding support",NA,NA
"5",NA,NA,"C13","Turnover",NA,NA
