"","code_A","label_A","code_B","label_B","code_C","label_C"
"6","C06","Poor planning of collaboration","C05","Difficult co-creator relationships","C09","Resource constraints"
"8","C09","Resource constraints","C02","Unclear expectations","C11","Difficulties recruiting co-creators"
"10","C11","Difficulties recruiting co-creators","C06","Poor planning of collaboration","C19","Difficulties distributing workload"
"5","C05","Difficult co-creator relationships","C18","Skills or knowledge gap","C03","Competing needs"
"16","C19","Difficulties distributing workload","C09","Resource constraints","C04","Language or custom differences"
"13","C16","Failure to acknowledge",NA,NA,"C16","Failure to acknowledge"
"7","C07","Limited exchange",NA,NA,"C22","CO"
